rank1,rank2,rank3,rank4,rank5,count
Andrew M. Cuomo,Adrienne E. Adams,Michael Blake,Paperboy Love Prince,Selma K. Bartholomew,6
Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Jessica Ramos,Andrew M. Cuomo,6
Adrienne E. Adams,Zellnor Myrie,Andrew M. Cuomo,Zohran Kwame Mamdani,,6
Andrew M. Cuomo,Michael Blake,Brad Lander,Paperboy Love Prince,Whitney R. Tilson,6
Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,,6
Andrew M. Cuomo,Zellnor Myrie,Adrienne E. Adams,Jessica Ramos,Paperboy Love Prince,6
Brad Lander,Andrew M. Cuomo,Zohran Kwame Mamdani,Zellnor Myrie,,6
Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,Brad Lander,6
Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,Andrew M. Cuomo,Zohran Kwame Mamdani,6
Brad Lander,Zellnor Myrie,Andrew M. Cuomo,Scott M. Stringer,Whitney R. Tilson,6
Jessica Ramos,Whitney R. Tilson,Scott M. Stringer,,,6
Zellnor Myrie,Adrienne E. Adams,Brad Lander,Jessica Ramos,Zohran Kwame Mamdani,6
Michael Blake,Brad Lander,Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,6
Zohran Kwame Mamdani,Adrienne E. Adams,Whitney R. Tilson,Scott M. Stringer,Brad Lander,6
Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,Jessica Ramos,Zohran Kwame Mamdani,6
Brad Lander,Scott M. Stringer,Zellnor Myrie,Whitney R. Tilson,Michael Blake,6
Andrew M. Cuomo,Adrienne E. Adams,Whitney R. Tilson,Paperboy Love Prince,,6
Brad Lander,Zohran Kwame Mamdani,Andrew M. Cuomo,Paperboy Love Prince,,6
Zohran Kwame Mamdani,Brad Lander,Paperboy Love Prince,Whitney R. Tilson,Scott M. Stringer,6
Zohran Kwame Mamdani,Zellnor Myrie,Andrew M. Cuomo,Brad Lander,Jessica Ramos,6
Zellnor Myrie,Andrew M. Cuomo,,,,6
Zohran Kwame Mamdani,Jessica Ramos,Selma K. Bartholomew,Paperboy Love Prince,Zellnor Myrie,6
Brad Lander,Zohran Kwame Mamdani,Paperboy Love Prince,Zellnor Myrie,Scott M. Stringer,6
Brad Lander,Zohran Kwame Mamdani,Jessica Ramos,Zellnor Myrie,Andrew M. Cuomo,6
Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Brad Lander,Candidate Write-in,6
Brad Lander,Zellnor Myrie,Whitney R. Tilson,Zohran Kwame Mamdani,Scott M. Stringer,6
Zellnor Myrie,Scott M. Stringer,Adrienne E. Adams,Brad Lander,Michael Blake,6
Brad Lander,Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,Andrew M. Cuomo,6
Scott M. Stringer,Brad Lander,Whitney R. Tilson,Zellnor Myrie,Adrienne E. Adams,6
Andrew M. Cuomo,Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,,6
Zellnor Myrie,Whitney R. Tilson,Brad Lander,,,6
Andrew M. Cuomo,Zellnor Myrie,Michael Blake,Scott M. Stringer,,6
Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,Adrienne E. Adams,Paperboy Love Prince,6
Zohran Kwame Mamdani,Adrienne E. Adams,Whitney R. Tilson,Paperboy Love Prince,,6
Zohran Kwame Mamdani,Selma K. Bartholomew,Michael Blake,Brad Lander,Jessica Ramos,6
Adrienne E. Adams,Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Selma K. Bartholomew,6
Andrew M. Cuomo,Zellnor Myrie,Zohran Kwame Mamdani,Scott M. Stringer,Michael Blake,6
Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,Brad Lander,Paperboy Love Prince,6
Zohran Kwame Mamdani,Selma K. Bartholomew,Zellnor Myrie,Whitney R. Tilson,Jessica Ramos,6
Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,,6
Andrew M. Cuomo,Selma K. Bartholomew,Zohran Kwame Mamdani,Zellnor Myrie,Jessica Ramos,6
Zohran Kwame Mamdani,Jessica Ramos,Zellnor Myrie,Paperboy Love Prince,Adrienne E. Adams,6
Andrew M. Cuomo,Zellnor Myrie,Brad Lander,Whitney R. Tilson,Scott M. Stringer,6
Adrienne E. Adams,Michael Blake,Zellnor Myrie,Andrew M. Cuomo,,6
Zellnor Myrie,Zohran Kwame Mamdani,Andrew M. Cuomo,Adrienne E. Adams,Jessica Ramos,6
Adrienne E. Adams,Andrew M. Cuomo,Zellnor Myrie,Scott M. Stringer,Whitney R. Tilson,6
Zellnor Myrie,Brad Lander,Whitney R. Tilson,Adrienne E. Adams,Scott M. Stringer,6
Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,Zellnor Myrie,6
Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,Michael Blake,Zellnor Myrie,6
Zohran Kwame Mamdani,Zellnor Myrie,Andrew M. Cuomo,Selma K. Bartholomew,Scott M. Stringer,6
Brad Lander,Adrienne E. Adams,Jessica Ramos,Andrew M. Cuomo,Zohran Kwame Mamdani,6
Brad Lander,Zohran Kwame Mamdani,Whitney R. Tilson,Scott M. Stringer,Andrew M. Cuomo,6
Brad Lander,Zellnor Myrie,Andrew M. Cuomo,Michael Blake,Adrienne E. Adams,6
Whitney R. Tilson,Andrew M. Cuomo,Scott M. Stringer,Michael Blake,Brad Lander,6
Brad Lander,Scott M. Stringer,Zellnor Myrie,Andrew M. Cuomo,Whitney R. Tilson,6
Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,Paperboy Love Prince,6
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Candidate Write-in,Paperboy Love Prince,6
Andrew M. Cuomo,Jessica Ramos,Whitney R. Tilson,Adrienne E. Adams,Brad Lander,6
Zohran Kwame Mamdani,Andrew M. Cuomo,Adrienne E. Adams,Whitney R. Tilson,Brad Lander,6
Zohran Kwame Mamdani,Andrew M. Cuomo,Paperboy Love Prince,Jessica Ramos,Whitney R. Tilson,6
Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,6
Zohran Kwame Mamdani,Adrienne E. Adams,Selma K. Bartholomew,Andrew M. Cuomo,Jessica Ramos,6
Adrienne E. Adams,Jessica Ramos,Selma K. Bartholomew,Whitney R. Tilson,,6
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Paperboy Love Prince,Jessica Ramos,6
Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,Andrew M. Cuomo,,6
Andrew M. Cuomo,Zohran Kwame Mamdani,Zellnor Myrie,Michael Blake,Selma K. Bartholomew,6
Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Whitney R. Tilson,Zellnor Myrie,6
Adrienne E. Adams,Michael Blake,Zohran Kwame Mamdani,Brad Lander,Whitney R. Tilson,6
Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Paperboy Love Prince,Andrew M. Cuomo,6
Zohran Kwame Mamdani,Brad Lander,Paperboy Love Prince,Andrew M. Cuomo,Scott M. Stringer,6
Zohran Kwame Mamdani,Andrew M. Cuomo,Selma K. Bartholomew,Brad Lander,Whitney R. Tilson,6
Zohran Kwame Mamdani,Jessica Ramos,Adrienne E. Adams,Scott M. Stringer,Paperboy Love Prince,6
Adrienne E. Adams,Zohran Kwame Mamdani,Jessica Ramos,Michael Blake,Andrew M. Cuomo,6
Brad Lander,Jessica Ramos,Michael Blake,,,6
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Paperboy Love Prince,Andrew M. Cuomo,6
Adrienne E. Adams,Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Paperboy Love Prince,6
Andrew M. Cuomo,Adrienne E. Adams,Zohran Kwame Mamdani,Paperboy Love Prince,Scott M. Stringer,6
Candidate Write-in,Paperboy Love Prince,Brad Lander,Michael Blake,Whitney R. Tilson,6
Andrew M. Cuomo,Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,Candidate Write-in,6
Zohran Kwame Mamdani,Selma K. Bartholomew,Scott M. Stringer,Michael Blake,Zellnor Myrie,6
Andrew M. Cuomo,Zohran Kwame Mamdani,Michael Blake,Whitney R. Tilson,Scott M. Stringer,6
Andrew M. Cuomo,Whitney R. Tilson,Zellnor Myrie,Candidate Write-in,,6
Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,Michael Blake,Brad Lander,6
Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,Andrew M. Cuomo,6
Zohran Kwame Mamdani,Brad Lander,Andrew M. Cuomo,Whitney R. Tilson,,6
Zohran Kwame Mamdani,Selma K. Bartholomew,Michael Blake,Zellnor Myrie,Adrienne E. Adams,6
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,Scott M. Stringer,6
Andrew M. Cuomo,Scott M. Stringer,Whitney R. Tilson,Selma K. Bartholomew,Brad Lander,6
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,Whitney R. Tilson,6
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Selma K. Bartholomew,Andrew M. Cuomo,6
Andrew M. Cuomo,Whitney R. Tilson,Michael Blake,Scott M. Stringer,Paperboy Love Prince,6
Zohran Kwame Mamdani,Zellnor Myrie,Jessica Ramos,Michael Blake,Andrew M. Cuomo,6
Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,Paperboy Love Prince,Michael Blake,6
Andrew M. Cuomo,Jessica Ramos,Brad Lander,Selma K. Bartholomew,Michael Blake,6
Zohran Kwame Mamdani,Paperboy Love Prince,Brad Lander,Whitney R. Tilson,Jessica Ramos,6
Andrew M. Cuomo,Adrienne E. Adams,Whitney R. Tilson,Jessica Ramos,Zellnor Myrie,6
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Whitney R. Tilson,Andrew M. Cuomo,6
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Jessica Ramos,,6
Adrienne E. Adams,Jessica Ramos,Zohran Kwame Mamdani,Andrew M. Cuomo,,6
Zohran Kwame Mamdani,Selma K. Bartholomew,Jessica Ramos,Scott M. Stringer,Michael Blake,6
Zohran Kwame Mamdani,Michael Blake,Selma K. Bartholomew,Jessica Ramos,Adrienne E. Adams,6
Brad Lander,Jessica Ramos,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,6
Zohran Kwame Mamdani,Paperboy Love Prince,Selma K. Bartholomew,Jessica Ramos,,6
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Zellnor Myrie,Michael Blake,6
Zohran Kwame Mamdani,Whitney R. Tilson,Michael Blake,Brad Lander,Jessica Ramos,6
Zohran Kwame Mamdani,Scott M. Stringer,Paperboy Love Prince,Adrienne E. Adams,Selma K. Bartholomew,6
Scott M. Stringer,Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,,6
Scott M. Stringer,Andrew M. Cuomo,Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,6
Andrew M. Cuomo,Jessica Ramos,Selma K. Bartholomew,Scott M. Stringer,Paperboy Love Prince,6
Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Andrew M. Cuomo,,6
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Michael Blake,,6
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,,6
Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,,6
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,,6
Michael Blake,Adrienne E. Adams,,,,6
Whitney R. Tilson,Andrew M. Cuomo,,,,6
Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,,,6
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,,6
Andrew M. Cuomo,Adrienne E. Adams,Zohran Kwame Mamdani,,,6
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,,6
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,,6
Brad Lander,Zohran Kwame Mamdani,,,,6
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,,,6
Andrew M. Cuomo,Michael Blake,Jessica Ramos,Zohran Kwame Mamdani,Scott M. Stringer,5
Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,Zellnor Myrie,Adrienne E. Adams,5
Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Selma K. Bartholomew,,5
Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,Adrienne E. Adams,Paperboy Love Prince,5
Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Paperboy Love Prince,5
Andrew M. Cuomo,Michael Blake,Scott M. Stringer,Zellnor Myrie,Zohran Kwame Mamdani,5
Andrew M. Cuomo,Zohran Kwame Mamdani,Michael Blake,Selma K. Bartholomew,Brad Lander,5
Andrew M. Cuomo,Michael Blake,Whitney R. Tilson,Scott M. Stringer,,5
Zohran Kwame Mamdani,Selma K. Bartholomew,Zellnor Myrie,Michael Blake,Jessica Ramos,5
Zellnor Myrie,Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,Andrew M. Cuomo,5
Scott M. Stringer,Brad Lander,Whitney R. Tilson,Adrienne E. Adams,Andrew M. Cuomo,5
Andrew M. Cuomo,Selma K. Bartholomew,Zellnor Myrie,Adrienne E. Adams,Michael Blake,5
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,,5
Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,Zellnor Myrie,Zohran Kwame Mamdani,5
Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,Selma K. Bartholomew,,5
Scott M. Stringer,Andrew M. Cuomo,Jessica Ramos,Michael Blake,Brad Lander,5
Andrew M. Cuomo,Zellnor Myrie,Jessica Ramos,Michael Blake,Adrienne E. Adams,5
Whitney R. Tilson,Andrew M. Cuomo,Selma K. Bartholomew,,,5
Scott M. Stringer,Adrienne E. Adams,Andrew M. Cuomo,Zellnor Myrie,Zohran Kwame Mamdani,5
Andrew M. Cuomo,Jessica Ramos,Selma K. Bartholomew,Zellnor Myrie,Zohran Kwame Mamdani,5
Scott M. Stringer,Brad Lander,Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,5
Whitney R. Tilson,Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Zellnor Myrie,5
Zohran Kwame Mamdani,Jessica Ramos,Zellnor Myrie,Andrew M. Cuomo,,5
Andrew M. Cuomo,Jessica Ramos,Michael Blake,Zohran Kwame Mamdani,Zellnor Myrie,5
Andrew M. Cuomo,Michael Blake,Jessica Ramos,Scott M. Stringer,Whitney R. Tilson,5
Andrew M. Cuomo,Michael Blake,Scott M. Stringer,Selma K. Bartholomew,Brad Lander,5
Scott M. Stringer,Andrew M. Cuomo,Michael Blake,Brad Lander,Adrienne E. Adams,5
Adrienne E. Adams,Michael Blake,Jessica Ramos,Scott M. Stringer,Zohran Kwame Mamdani,5
Andrew M. Cuomo,Zohran Kwame Mamdani,Whitney R. Tilson,Jessica Ramos,,5
Andrew M. Cuomo,Scott M. Stringer,Jessica Ramos,Zellnor Myrie,Selma K. Bartholomew,5
Andrew M. Cuomo,Michael Blake,Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,5
Zohran Kwame Mamdani,Selma K. Bartholomew,Michael Blake,Jessica Ramos,Brad Lander,5
Andrew M. Cuomo,Jessica Ramos,Selma K. Bartholomew,Adrienne E. Adams,Brad Lander,5
Adrienne E. Adams,Andrew M. Cuomo,Selma K. Bartholomew,Michael Blake,,5
Adrienne E. Adams,Jessica Ramos,Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,5
Andrew M. Cuomo,Michael Blake,Zellnor Myrie,Brad Lander,,5
Andrew M. Cuomo,Jessica Ramos,Adrienne E. Adams,Selma K. Bartholomew,Paperboy Love Prince,5
Andrew M. Cuomo,Michael Blake,Jessica Ramos,Scott M. Stringer,Adrienne E. Adams,5
Adrienne E. Adams,Scott M. Stringer,Brad Lander,Selma K. Bartholomew,Andrew M. Cuomo,5
Zellnor Myrie,Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,5
Andrew M. Cuomo,Michael Blake,Selma K. Bartholomew,Jessica Ramos,,5
Scott M. Stringer,Adrienne E. Adams,Brad Lander,Whitney R. Tilson,Zellnor Myrie,5
Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,Jessica Ramos,Andrew M. Cuomo,5
Zohran Kwame Mamdani,Jessica Ramos,Scott M. Stringer,Zellnor Myrie,Paperboy Love Prince,5
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Whitney R. Tilson,Selma K. Bartholomew,5
Andrew M. Cuomo,Zellnor Myrie,Jessica Ramos,Brad Lander,Michael Blake,5
Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,5
Andrew M. Cuomo,Zellnor Myrie,Scott M. Stringer,Brad Lander,Paperboy Love Prince,5
Adrienne E. Adams,Brad Lander,Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,5
Zohran Kwame Mamdani,Brad Lander,Whitney R. Tilson,Michael Blake,Jessica Ramos,5
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Jessica Ramos,Whitney R. Tilson,5
Zellnor Myrie,Adrienne E. Adams,Andrew M. Cuomo,Michael Blake,,5
Andrew M. Cuomo,Scott M. Stringer,Selma K. Bartholomew,Zohran Kwame Mamdani,Zellnor Myrie,5
Andrew M. Cuomo,Zellnor Myrie,Michael Blake,Adrienne E. Adams,Brad Lander,5
Brad Lander,Michael Blake,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,5
Andrew M. Cuomo,Michael Blake,Adrienne E. Adams,Selma K. Bartholomew,,5
Andrew M. Cuomo,Whitney R. Tilson,Selma K. Bartholomew,Scott M. Stringer,Zohran Kwame Mamdani,5
Scott M. Stringer,Zohran Kwame Mamdani,Michael Blake,,,5
Zohran Kwame Mamdani,Jessica Ramos,Michael Blake,Brad Lander,Selma K. Bartholomew,5
Adrienne E. Adams,Selma K. Bartholomew,Jessica Ramos,Whitney R. Tilson,Andrew M. Cuomo,5
Andrew M. Cuomo,Scott M. Stringer,Zellnor Myrie,Selma K. Bartholomew,Whitney R. Tilson,5
Zellnor Myrie,Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Zohran Kwame Mamdani,5
Andrew M. Cuomo,Zellnor Myrie,Selma K. Bartholomew,Adrienne E. Adams,Zohran Kwame Mamdani,5
Andrew M. Cuomo,Zohran Kwame Mamdani,Michael Blake,Zellnor Myrie,,5
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,Paperboy Love Prince,5
Scott M. Stringer,Andrew M. Cuomo,Jessica Ramos,Brad Lander,Whitney R. Tilson,5
Andrew M. Cuomo,Selma K. Bartholomew,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,5
Scott M. Stringer,Whitney R. Tilson,Brad Lander,Zellnor Myrie,Adrienne E. Adams,5
Zohran Kwame Mamdani,Michael Blake,Jessica Ramos,Brad Lander,Selma K. Bartholomew,5
Andrew M. Cuomo,Jessica Ramos,Brad Lander,Michael Blake,Scott M. Stringer,5
Andrew M. Cuomo,Michael Blake,Jessica Ramos,Whitney R. Tilson,Adrienne E. Adams,5
Adrienne E. Adams,Andrew M. Cuomo,Zellnor Myrie,Michael Blake,Jessica Ramos,5
Zohran Kwame Mamdani,Adrienne E. Adams,Selma K. Bartholomew,Whitney R. Tilson,Scott M. Stringer,5
Zohran Kwame Mamdani,Andrew M. Cuomo,Zellnor Myrie,Whitney R. Tilson,Paperboy Love Prince,5
Zohran Kwame Mamdani,Selma K. Bartholomew,Zellnor Myrie,Paperboy Love Prince,Jessica Ramos,5
Zohran Kwame Mamdani,Jessica Ramos,Whitney R. Tilson,Zellnor Myrie,Brad Lander,5
Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Selma K. Bartholomew,Whitney R. Tilson,5
Zohran Kwame Mamdani,Paperboy Love Prince,Brad Lander,Jessica Ramos,Michael Blake,5
Zohran Kwame Mamdani,Paperboy Love Prince,Adrienne E. Adams,Selma K. Bartholomew,Michael Blake,5
Zohran Kwame Mamdani,Selma K. Bartholomew,Paperboy Love Prince,Zellnor Myrie,Adrienne E. Adams,5
Selma K. Bartholomew,Michael Blake,,,,5
Zohran Kwame Mamdani,Michael Blake,Selma K. Bartholomew,Zellnor Myrie,Scott M. Stringer,5
Zohran Kwame Mamdani,Andrew M. Cuomo,Zellnor Myrie,Scott M. Stringer,Whitney R. Tilson,5
Andrew M. Cuomo,Selma K. Bartholomew,Zellnor Myrie,Jessica Ramos,Michael Blake,5
Zohran Kwame Mamdani,Michael Blake,Brad Lander,Paperboy Love Prince,Candidate Write-in,5
Zohran Kwame Mamdani,Jessica Ramos,Michael Blake,Paperboy Love Prince,Selma K. Bartholomew,5
Adrienne E. Adams,Scott M. Stringer,Brad Lander,Zellnor Myrie,Selma K. Bartholomew,5
Andrew M. Cuomo,Zohran Kwame Mamdani,Zellnor Myrie,Selma K. Bartholomew,Whitney R. Tilson,5
Andrew M. Cuomo,Selma K. Bartholomew,Jessica Ramos,Whitney R. Tilson,Adrienne E. Adams,5
Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,Adrienne E. Adams,Jessica Ramos,5
Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,Selma K. Bartholomew,,5
Andrew M. Cuomo,Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,Selma K. Bartholomew,5
Andrew M. Cuomo,Whitney R. Tilson,Michael Blake,Adrienne E. Adams,Jessica Ramos,5
Adrienne E. Adams,Jessica Ramos,Selma K. Bartholomew,Andrew M. Cuomo,Michael Blake,5
Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Michael Blake,Zellnor Myrie,5
Zohran Kwame Mamdani,Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Michael Blake,5
Zohran Kwame Mamdani,Scott M. Stringer,Andrew M. Cuomo,Michael Blake,,5
Andrew M. Cuomo,Jessica Ramos,Whitney R. Tilson,Scott M. Stringer,Selma K. Bartholomew,5
Andrew M. Cuomo,Selma K. Bartholomew,Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,5
Adrienne E. Adams,Zohran Kwame Mamdani,Michael Blake,Brad Lander,Whitney R. Tilson,5
Zohran Kwame Mamdani,Michael Blake,Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,5
Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Selma K. Bartholomew,Whitney R. Tilson,5
Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,Scott M. Stringer,Selma K. Bartholomew,5
Brad Lander,Andrew M. Cuomo,Scott M. Stringer,Jessica Ramos,Paperboy Love Prince,5
Scott M. Stringer,Brad Lander,Jessica Ramos,Adrienne E. Adams,Selma K. Bartholomew,5
Zohran Kwame Mamdani,Scott M. Stringer,Andrew M. Cuomo,Michael Blake,Adrienne E. Adams,5
Brad Lander,Scott M. Stringer,Zellnor Myrie,Whitney R. Tilson,Paperboy Love Prince,5
Zohran Kwame Mamdani,Michael Blake,Selma K. Bartholomew,Jessica Ramos,,5
Andrew M. Cuomo,Adrienne E. Adams,Paperboy Love Prince,Scott M. Stringer,,5
Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,Brad Lander,Michael Blake,5
Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Scott M. Stringer,Whitney R. Tilson,5
Andrew M. Cuomo,Scott M. Stringer,Selma K. Bartholomew,Adrienne E. Adams,Zellnor Myrie,5
Adrienne E. Adams,Andrew M. Cuomo,Michael Blake,Whitney R. Tilson,Jessica Ramos,5
Adrienne E. Adams,Zellnor Myrie,Selma K. Bartholomew,Andrew M. Cuomo,Zohran Kwame Mamdani,5
Andrew M. Cuomo,Michael Blake,Selma K. Bartholomew,Jessica Ramos,Scott M. Stringer,5
Andrew M. Cuomo,Michael Blake,Jessica Ramos,Adrienne E. Adams,Whitney R. Tilson,5
Michael Blake,Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,5
Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,Scott M. Stringer,Paperboy Love Prince,5
Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,Paperboy Love Prince,5
Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,Michael Blake,Zohran Kwame Mamdani,5
Adrienne E. Adams,Michael Blake,Scott M. Stringer,Brad Lander,Jessica Ramos,5
Adrienne E. Adams,Selma K. Bartholomew,Michael Blake,Zellnor Myrie,Zohran Kwame Mamdani,5
Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Whitney R. Tilson,Selma K. Bartholomew,5
Andrew M. Cuomo,Michael Blake,Brad Lander,Selma K. Bartholomew,Jessica Ramos,5
Zohran Kwame Mamdani,Paperboy Love Prince,Adrienne E. Adams,Zellnor Myrie,Selma K. Bartholomew,5
Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,5
Adrienne E. Adams,Whitney R. Tilson,Selma K. Bartholomew,,,5
Zellnor Myrie,Zohran Kwame Mamdani,Brad Lander,Michael Blake,Jessica Ramos,5
Adrienne E. Adams,Zohran Kwame Mamdani,Michael Blake,Brad Lander,Selma K. Bartholomew,5
Adrienne E. Adams,Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,Zohran Kwame Mamdani,5
Andrew M. Cuomo,Selma K. Bartholomew,Adrienne E. Adams,Whitney R. Tilson,Michael Blake,5
Andrew M. Cuomo,Zohran Kwame Mamdani,Whitney R. Tilson,Zellnor Myrie,Paperboy Love Prince,5
Zohran Kwame Mamdani,Andrew M. Cuomo,Whitney R. Tilson,Selma K. Bartholomew,Adrienne E. Adams,5
Adrienne E. Adams,Scott M. Stringer,Brad Lander,Michael Blake,,5
Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,Zohran Kwame Mamdani,Selma K. Bartholomew,5
Adrienne E. Adams,Brad Lander,Scott M. Stringer,Zellnor Myrie,Selma K. Bartholomew,5
Andrew M. Cuomo,Scott M. Stringer,Selma K. Bartholomew,Michael Blake,Zellnor Myrie,5
Andrew M. Cuomo,Jessica Ramos,Brad Lander,Zohran Kwame Mamdani,Michael Blake,5
Andrew M. Cuomo,Jessica Ramos,Brad Lander,Michael Blake,,5
Zohran Kwame Mamdani,Zellnor Myrie,Michael Blake,Whitney R. Tilson,Brad Lander,5
Andrew M. Cuomo,Zellnor Myrie,,,,5
Zohran Kwame Mamdani,Michael Blake,Selma K. Bartholomew,Brad Lander,Zellnor Myrie,5
Adrienne E. Adams,Michael Blake,Zohran Kwame Mamdani,Andrew M. Cuomo,,5
Zohran Kwame Mamdani,Selma K. Bartholomew,Jessica Ramos,Scott M. Stringer,Paperboy Love Prince,5
Andrew M. Cuomo,Adrienne E. Adams,Paperboy Love Prince,Jessica Ramos,Selma K. Bartholomew,5
Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,Whitney R. Tilson,Brad Lander,5
Zohran Kwame Mamdani,Andrew M. Cuomo,Michael Blake,Zellnor Myrie,Selma K. Bartholomew,5
