rank1,rank2,rank3,rank4,rank5,count
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,Andrew M. Cuomo,266
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,,264
Brad Lander,Zohran Kwame Mamdani,Michael Blake,Zellnor Myrie,Adrienne E. Adams,264
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Brad Lander,Michael Blake,258
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Scott M. Stringer,Zellnor Myrie,257
Andrew M. Cuomo,Scott M. Stringer,Jessica Ramos,,,257
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Jessica Ramos,256
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Paperboy Love Prince,256
Brad Lander,Zellnor Myrie,Adrienne E. Adams,,,255
Scott M. Stringer,Brad Lander,Jumaane D. Williams,,,255
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,,253
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,252
Adrienne E. Adams,Scott M. Stringer,,,,252
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,Jumaane D. Williams,252
Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,,,250
Brad Lander,Zellnor Myrie,,,,249
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Zellnor Myrie,,249
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Michael Blake,Jessica Ramos,248
Adrienne E. Adams,Zohran Kwame Mamdani,Jumaane D. Williams,,,247
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,246
Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,,,246
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Scott M. Stringer,Jessica Ramos,246
Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Brad Lander,Michael Blake,244
Andrew M. Cuomo,Whitney R. Tilson,Zellnor Myrie,,,243
Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,241
Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,,,240
Andrew M. Cuomo,Write-In,,,,239
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Zellnor Myrie,Jessica Ramos,237
Scott M. Stringer,Andrew M. Cuomo,Brad Lander,,,236
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Zellnor Myrie,Michael Blake,236
Andrew M. Cuomo,Whitney R. Tilson,Zellnor Myrie,Scott M. Stringer,Jessica Ramos,235
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Brad Lander,Scott M. Stringer,235
Zohran Kwame Mamdani,Andrew M. Cuomo,Scott M. Stringer,,,234
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,233
Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Michael Blake,Adrienne E. Adams,232
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Whitney R. Tilson,,231
