rank1,rank2,rank3,rank4,rank5,count
Zohran Kwame Mamdani,Paperboy Love Prince,Selma K. Bartholomew,Whitney R. Tilson,Scott M. Stringer,1
Michael Blake,Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,1
Michael Blake,Andrew M. Cuomo,Whitney R. Tilson,Adrienne E. Adams,Zohran Kwame Mamdani,1
Write-In,Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Jessica Ramos,1
Whitney R. Tilson,Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,Jessica Ramos,1
Zohran Kwame Mamdani,Michael Blake,Whitney R. Tilson,Brad Lander,Adrienne E. Adams,1
Write-In,Zohran Kwame Mamdani,Brad Lander,,,1
Brad Lander,Zohran Kwame Mamdani,Paperboy Love Prince,Michael Blake,,1
Jessica Ramos,Zohran Kwame Mamdani,Brad Lander,Andrew M. Cuomo,Paperboy Love Prince,1
Zellnor Myrie,Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,Paperboy Love Prince,1
Adrienne E. Adams,Zellnor Myrie,Jessica Ramos,Michael Blake,Selma K. Bartholomew,1
Adrienne E. Adams,Zellnor Myrie,Andrew M. Cuomo,Selma K. Bartholomew,Zohran Kwame Mamdani,1
Brad Lander,Jessica Ramos,Adrienne E. Adams,Michael Blake,Paperboy Love Prince,1
Zohran Kwame Mamdani,Selma K. Bartholomew,Jessica Ramos,Andrew M. Cuomo,Whitney R. Tilson,1
Zohran Kwame Mamdani,Paperboy Love Prince,Adrienne E. Adams,Jessica Ramos,Brad Lander,1
Zellnor Myrie,Paperboy Love Prince,Michael Blake,Adrienne E. Adams,,1
Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,Brad Lander,Write-In,1
Brad Lander,Jessica Ramos,Michael Blake,Zellnor Myrie,Scott M. Stringer,1
Zellnor Myrie,Scott M. Stringer,Paperboy Love Prince,Andrew M. Cuomo,Whitney R. Tilson,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Jessica Ramos,Paperboy Love Prince,1
Brad Lander,Andrew M. Cuomo,Jessica Ramos,Michael Blake,Whitney R. Tilson,1
Jessica Ramos,Scott M. Stringer,Zellnor Myrie,Brad Lander,Zellnor Myrie,1
Selma K. Bartholomew,Brad Lander,Adrienne E. Adams,Scott M. Stringer,,1
Write-In,Andrew M. Cuomo,Michael Blake,,,1
Paperboy Love Prince,Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,Michael Blake,1
Zellnor Myrie,Paperboy Love Prince,Selma K. Bartholomew,,,1
Brad Lander,Andrew M. Cuomo,Zellnor Myrie,Adrienne E. Adams,Write-In,1
Paperboy Love Prince,Zohran Kwame Mamdani,Jessica Ramos,Adrienne E. Adams,Michael Blake,1
Zohran Kwame Mamdani,Paperboy Love Prince,Scott M. Stringer,Michael Blake,Paperboy Love Prince,1
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Write-In,Zohran Kwame Mamdani,1
Zohran Kwame Mamdani,Paperboy Love Prince,Jessica Ramos,Scott M. Stringer,Selma K. Bartholomew,1
Scott M. Stringer,Andrew M. Cuomo,Adrienne E. Adams,Paperboy Love Prince,,1
Whitney R. Tilson,Adrienne E. Adams,Zohran Kwame Mamdani,Michael Blake,Jessica Ramos,1
Paperboy Love Prince,Scott M. Stringer,Adrienne E. Adams,Brad Lander,Andrew M. Cuomo,1
Adrienne E. Adams,Michael Blake,Whitney R. Tilson,Brad Lander,Zohran Kwame Mamdani,1
Brad Lander,Jessica Ramos,Whitney R. Tilson,Zohran Kwame Mamdani,Scott M. Stringer,1
Michael Blake,Adrienne E. Adams,Selma K. Bartholomew,Zellnor Myrie,Scott M. Stringer,1
Andrew M. Cuomo,Zellnor Myrie,Write-In,Selma K. Bartholomew,Jessica Ramos,1
Write-In,Adrienne E. Adams,Jessica Ramos,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Andrew M. Cuomo,Andrew M. Cuomo,Adrienne E. Adams,Zellnor Myrie,Brad Lander,1
Zohran Kwame Mamdani,Michael Blake,Andrew M. Cuomo,Selma K. Bartholomew,Scott M. Stringer,1
Andrew M. Cuomo,Michael Blake,Jessica Ramos,Andrew M. Cuomo,,1
Adrienne E. Adams,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Zellnor Myrie,1
Zellnor Myrie,Whitney R. Tilson,Zellnor Myrie,Whitney R. Tilson,Andrew M. Cuomo,1
Zohran Kwame Mamdani,Andrew M. Cuomo,Paperboy Love Prince,Whitney R. Tilson,Scott M. Stringer,1
Brad Lander,Whitney R. Tilson,Michael Blake,Adrienne E. Adams,Zohran Kwame Mamdani,1
Scott M. Stringer,Jessica Ramos,Adrienne E. Adams,Brad Lander,Zellnor Myrie,1
Paperboy Love Prince,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Zellnor Myrie,1
Scott M. Stringer,Michael Blake,Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,1
Jessica Ramos,Selma K. Bartholomew,Whitney R. Tilson,Paperboy Love Prince,Adrienne E. Adams,1
Zohran Kwame Mamdani,Brad Lander,Whitney R. Tilson,Scott M. Stringer,Write-In,1
Whitney R. Tilson,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,1
Andrew M. Cuomo,Scott M. Stringer,Michael Blake,Scott M. Stringer,,1
Paperboy Love Prince,Jessica Ramos,Whitney R. Tilson,Zohran Kwame Mamdani,Brad Lander,1
Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,Michael Blake,Michael Blake,1
Whitney R. Tilson,Michael Blake,Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,1
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Write-In,Michael Blake,1
Paperboy Love Prince,Michael Blake,Zellnor Myrie,Zohran Kwame Mamdani,Jessica Ramos,1
Paperboy Love Prince,Adrienne E. Adams,Scott M. Stringer,Brad Lander,Jessica Ramos,1
Andrew M. Cuomo,Scott M. Stringer,Scott M. Stringer,Michael Blake,Adrienne E. Adams,1
Adrienne E. Adams,Whitney R. Tilson,Andrew M. Cuomo,Michael Blake,Paperboy Love Prince,1
Adrienne E. Adams,Scott M. Stringer,Selma K. Bartholomew,Zohran Kwame Mamdani,Zellnor Myrie,1
Brad Lander,Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,Scott M. Stringer,1
Scott M. Stringer,Whitney R. Tilson,Jessica Ramos,Zellnor Myrie,Brad Lander,1
Brad Lander,Brad Lander,Scott M. Stringer,Adrienne E. Adams,,1
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Andrew M. Cuomo,1
Brad Lander,Adrienne E. Adams,Selma K. Bartholomew,Jessica Ramos,Zellnor Myrie,1
Zohran Kwame Mamdani,Scott M. Stringer,Paperboy Love Prince,Write-In,Zellnor Myrie,1
Zellnor Myrie,Michael Blake,Selma K. Bartholomew,,,1
Selma K. Bartholomew,Zellnor Myrie,Whitney R. Tilson,Michael Blake,Zohran Kwame Mamdani,1
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Adrienne E. Adams,1
Michael Blake,Zellnor Myrie,Write-In,Selma K. Bartholomew,Adrienne E. Adams,1
Brad Lander,Jessica Ramos,Scott M. Stringer,Zellnor Myrie,Michael Blake,1
Andrew M. Cuomo,Michael Blake,Whitney R. Tilson,Selma K. Bartholomew,Jessica Ramos,1
Whitney R. Tilson,Zohran Kwame Mamdani,Andrew M. Cuomo,Jessica Ramos,Selma K. Bartholomew,1
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Zellnor Myrie,Jessica Ramos,1
Scott M. Stringer,Whitney R. Tilson,Zohran Kwame Mamdani,Andrew M. Cuomo,Adrienne E. Adams,1
Andrew M. Cuomo,Zellnor Myrie,Andrew M. Cuomo,Jessica Ramos,Michael Blake,1
Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,1
Zohran Kwame Mamdani,Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Brad Lander,1
Paperboy Love Prince,Michael Blake,Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,1
Andrew M. Cuomo,Paperboy Love Prince,Adrienne E. Adams,Michael Blake,Brad Lander,1
Brad Lander,Jessica Ramos,Andrew M. Cuomo,Zellnor Myrie,Scott M. Stringer,1
Jessica Ramos,Jessica Ramos,Adrienne E. Adams,Adrienne E. Adams,Michael Blake,1
Whitney R. Tilson,Zellnor Myrie,Write-In,Adrienne E. Adams,Andrew M. Cuomo,1
Andrew M. Cuomo,Zohran Kwame Mamdani,Paperboy Love Prince,Selma K. Bartholomew,Zellnor Myrie,1
Scott M. Stringer,Zellnor Myrie,Paperboy Love Prince,Brad Lander,Write-In,1
Scott M. Stringer,Andrew M. Cuomo,Zohran Kwame Mamdani,Jessica Ramos,Paperboy Love Prince,1
Scott M. Stringer,Andrew M. Cuomo,Paperboy Love Prince,Write-In,,1
Whitney R. Tilson,Scott M. Stringer,Brad Lander,Jessica Ramos,,1
Brad Lander,Andrew M. Cuomo,Paperboy Love Prince,Selma K. Bartholomew,Zohran Kwame Mamdani,1
Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,Paperboy Love Prince,Write-In,1
Andrew M. Cuomo,Andrew M. Cuomo,Paperboy Love Prince,Adrienne E. Adams,Zohran Kwame Mamdani,1
Andrew M. Cuomo,Michael Blake,Andrew M. Cuomo,Jessica Ramos,Zellnor Myrie,1
Adrienne E. Adams,Andrew M. Cuomo,Paperboy Love Prince,Jessica Ramos,Zellnor Myrie,1
Zellnor Myrie,Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,Adrienne E. Adams,1
Adrienne E. Adams,Zellnor Myrie,Andrew M. Cuomo,Paperboy Love Prince,Jessica Ramos,1
Write-In,Zohran Kwame Mamdani,Zellnor Myrie,Write-In,Brad Lander,1
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Jessica Ramos,Scott M. Stringer,1
Zohran Kwame Mamdani,Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,Adrienne E. Adams,1
Michael Blake,Selma K. Bartholomew,Scott M. Stringer,Zohran Kwame Mamdani,Jessica Ramos,1
Andrew M. Cuomo,Michael Blake,Jessica Ramos,Paperboy Love Prince,Scott M. Stringer,1
Paperboy Love Prince,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Brad Lander,1
Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,Andrew M. Cuomo,Andrew M. Cuomo,1
Adrienne E. Adams,Zellnor Myrie,Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,1
Zohran Kwame Mamdani,Whitney R. Tilson,Michael Blake,Adrienne E. Adams,Zellnor Myrie,1
Zohran Kwame Mamdani,Jessica Ramos,Whitney R. Tilson,Write-In,,1
Whitney R. Tilson,Scott M. Stringer,Michael Blake,Brad Lander,Paperboy Love Prince,1
Zohran Kwame Mamdani,Selma K. Bartholomew,Paperboy Love Prince,Whitney R. Tilson,Zellnor Myrie,1
Adrienne E. Adams,Jessica Ramos,Brad Lander,Whitney R. Tilson,Michael Blake,1
Whitney R. Tilson,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Brad Lander,1
Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Michael Blake,,1
Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,Andrew M. Cuomo,Andrew M. Cuomo,1
Paperboy Love Prince,Zellnor Myrie,Scott M. Stringer,Brad Lander,Jessica Ramos,1
Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,Andrew M. Cuomo,Write-In,1
Brad Lander,Andrew M. Cuomo,Selma K. Bartholomew,Adrienne E. Adams,Scott M. Stringer,1
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Michael Blake,Write-In,1
Zellnor Myrie,Michael Blake,Jessica Ramos,Zohran Kwame Mamdani,Scott M. Stringer,1
Andrew M. Cuomo,Whitney R. Tilson,Michael Blake,Adrienne E. Adams,Adrienne E. Adams,1
Adrienne E. Adams,Whitney R. Tilson,Andrew M. Cuomo,Zohran Kwame Mamdani,Zellnor Myrie,1
Brad Lander,Paperboy Love Prince,Zohran Kwame Mamdani,Jessica Ramos,,1
Andrew M. Cuomo,Write-In,Brad Lander,Michael Blake,Scott M. Stringer,1
Brad Lander,Jessica Ramos,Zohran Kwame Mamdani,Michael Blake,Scott M. Stringer,1
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Write-In,Paperboy Love Prince,1
Whitney R. Tilson,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Michael Blake,1
Jessica Ramos,Adrienne E. Adams,Whitney R. Tilson,Andrew M. Cuomo,Selma K. Bartholomew,1
Zellnor Myrie,Brad Lander,Andrew M. Cuomo,Adrienne E. Adams,Write-In,1
Whitney R. Tilson,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Andrew M. Cuomo,1
Jessica Ramos,Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Adrienne E. Adams,1
Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Write-In,1
Zellnor Myrie,Jessica Ramos,Michael Blake,Scott M. Stringer,Adrienne E. Adams,1
Whitney R. Tilson,Jessica Ramos,Zellnor Myrie,Scott M. Stringer,Brad Lander,1
Jessica Ramos,Scott M. Stringer,Brad Lander,Whitney R. Tilson,Zohran Kwame Mamdani,1
Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,Scott M. Stringer,,1
Paperboy Love Prince,Jessica Ramos,Adrienne E. Adams,Zellnor Myrie,,1
Paperboy Love Prince,Jessica Ramos,Scott M. Stringer,Selma K. Bartholomew,Zohran Kwame Mamdani,1
Andrew M. Cuomo,Write-In,Zellnor Myrie,Write-In,Adrienne E. Adams,1
Zellnor Myrie,Whitney R. Tilson,Write-In,,,1
Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Brad Lander,Adrienne E. Adams,1
Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Scott M. Stringer,Paperboy Love Prince,1
Brad Lander,Paperboy Love Prince,Andrew M. Cuomo,Jessica Ramos,Zellnor Myrie,1
Write-In,Paperboy Love Prince,Brad Lander,,,1
Zohran Kwame Mamdani,Michael Blake,Jessica Ramos,Zellnor Myrie,Jessica Ramos,1
Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,Selma K. Bartholomew,Write-In,1
Adrienne E. Adams,Selma K. Bartholomew,Scott M. Stringer,Whitney R. Tilson,Andrew M. Cuomo,1
Zohran Kwame Mamdani,Zellnor Myrie,Whitney R. Tilson,Andrew M. Cuomo,Jessica Ramos,1
Jessica Ramos,Jessica Ramos,Whitney R. Tilson,Brad Lander,Paperboy Love Prince,1
Scott M. Stringer,Zohran Kwame Mamdani,Jessica Ramos,Michael Blake,Whitney R. Tilson,1
Brad Lander,Zohran Kwame Mamdani,Paperboy Love Prince,Adrienne E. Adams,Write-In,1
Brad Lander,Zohran Kwame Mamdani,Andrew M. Cuomo,Zellnor Myrie,Selma K. Bartholomew,1
Whitney R. Tilson,Scott M. Stringer,Brad Lander,Jessica Ramos,Zohran Kwame Mamdani,1
Scott M. Stringer,Michael Blake,Andrew M. Cuomo,Jessica Ramos,,1
Zellnor Myrie,Brad Lander,Jessica Ramos,Michael Blake,Adrienne E. Adams,1
Zellnor Myrie,Jessica Ramos,Adrienne E. Adams,Brad Lander,,1
Andrew M. Cuomo,Brad Lander,Michael Blake,Brad Lander,Jessica Ramos,1
Adrienne E. Adams,Whitney R. Tilson,Whitney R. Tilson,Jessica Ramos,,1
Write-In,Whitney R. Tilson,Andrew M. Cuomo,Zellnor Myrie,,1
Andrew M. Cuomo,Jessica Ramos,Whitney R. Tilson,Brad Lander,Andrew M. Cuomo,1
Adrienne E. Adams,Zohran Kwame Mamdani,Jessica Ramos,Paperboy Love Prince,Andrew M. Cuomo,1
Andrew M. Cuomo,Andrew M. Cuomo,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Scott M. Stringer,1
Zellnor Myrie,Whitney R. Tilson,Andrew M. Cuomo,Jessica Ramos,Write-In,1
Adrienne E. Adams,Zellnor Myrie,Brad Lander,Andrew M. Cuomo,Paperboy Love Prince,1
Jessica Ramos,Zohran Kwame Mamdani,Brad Lander,Whitney R. Tilson,Andrew M. Cuomo,1
Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,Michael Blake,Zohran Kwame Mamdani,1
Jessica Ramos,Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Zellnor Myrie,Scott M. Stringer,Selma K. Bartholomew,Adrienne E. Adams,Jessica Ramos,1
Jessica Ramos,Zohran Kwame Mamdani,Michael Blake,Brad Lander,Adrienne E. Adams,1
Scott M. Stringer,Zellnor Myrie,Brad Lander,Jessica Ramos,Adrienne E. Adams,1
Zohran Kwame Mamdani,Jessica Ramos,Paperboy Love Prince,Write-In,Zellnor Myrie,1
Zohran Kwame Mamdani,Jessica Ramos,Scott M. Stringer,Selma K. Bartholomew,Selma K. Bartholomew,1
Whitney R. Tilson,Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,1
Michael Blake,Whitney R. Tilson,Brad Lander,Zellnor Myrie,Scott M. Stringer,1
Andrew M. Cuomo,Zellnor Myrie,Zohran Kwame Mamdani,Jessica Ramos,Write-In,1
Brad Lander,Selma K. Bartholomew,Michael Blake,Whitney R. Tilson,Zellnor Myrie,1
Zohran Kwame Mamdani,Adrienne E. Adams,Write-In,Brad Lander,Michael Blake,1
Zellnor Myrie,Scott M. Stringer,Selma K. Bartholomew,Michael Blake,Andrew M. Cuomo,1
Brad Lander,Whitney R. Tilson,Andrew M. Cuomo,Paperboy Love Prince,Zohran Kwame Mamdani,1
Selma K. Bartholomew,Zohran Kwame Mamdani,Andrew M. Cuomo,Adrienne E. Adams,Whitney R. Tilson,1
Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,Write-In,1
Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,Zellnor Myrie,Write-In,1
Zohran Kwame Mamdani,Write-In,Jessica Ramos,Scott M. Stringer,Michael Blake,1
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Whitney R. Tilson,Selma K. Bartholomew,1
Andrew M. Cuomo,Adrienne E. Adams,Michael Blake,Scott M. Stringer,Write-In,1
Zohran Kwame Mamdani,Paperboy Love Prince,Selma K. Bartholomew,Adrienne E. Adams,,1
Michael Blake,Adrienne E. Adams,Paperboy Love Prince,Brad Lander,Zohran Kwame Mamdani,1
Michael Blake,Paperboy Love Prince,Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,1
Brad Lander,Selma K. Bartholomew,Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,1
Adrienne E. Adams,Andrew M. Cuomo,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Jessica Ramos,1
Zohran Kwame Mamdani,Zohran Kwame Mamdani,Michael Blake,,,1
Michael Blake,Michael Blake,Brad Lander,Andrew M. Cuomo,Scott M. Stringer,1
Jessica Ramos,Scott M. Stringer,Adrienne E. Adams,Whitney R. Tilson,Paperboy Love Prince,1
Andrew M. Cuomo,Jessica Ramos,Adrienne E. Adams,Paperboy Love Prince,Michael Blake,1
Zohran Kwame Mamdani,Andrew M. Cuomo,Adrienne E. Adams,Adrienne E. Adams,,1
Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,1
Zohran Kwame Mamdani,Andrew M. Cuomo,Paperboy Love Prince,Adrienne E. Adams,Michael Blake,1
Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,Selma K. Bartholomew,Zellnor Myrie,1
Zellnor Myrie,Zohran Kwame Mamdani,Paperboy Love Prince,Scott M. Stringer,Adrienne E. Adams,1
Zellnor Myrie,Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,1
Michael Blake,Zohran Kwame Mamdani,Andrew M. Cuomo,Zellnor Myrie,Jessica Ramos,1
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Brad Lander,Michael Blake,1
Andrew M. Cuomo,Andrew M. Cuomo,Selma K. Bartholomew,Brad Lander,,1
Zohran Kwame Mamdani,Selma K. Bartholomew,Paperboy Love Prince,Adrienne E. Adams,Andrew M. Cuomo,1
Michael Blake,Selma K. Bartholomew,Zohran Kwame Mamdani,Jessica Ramos,Scott M. Stringer,1
Adrienne E. Adams,Selma K. Bartholomew,Scott M. Stringer,Jessica Ramos,,1
Zellnor Myrie,Brad Lander,Scott M. Stringer,Andrew M. Cuomo,Jessica Ramos,1
Zohran Kwame Mamdani,Jessica Ramos,Andrew M. Cuomo,Zellnor Myrie,,1
Whitney R. Tilson,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,1
Andrew M. Cuomo,Jessica Ramos,Michael Blake,Adrienne E. Adams,Whitney R. Tilson,1
Andrew M. Cuomo,Selma K. Bartholomew,Jessica Ramos,Adrienne E. Adams,Scott M. Stringer,1
Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,Brad Lander,Jessica Ramos,1
Andrew M. Cuomo,Adrienne E. Adams,Zellnor Myrie,Adrienne E. Adams,Brad Lander,1
Zohran Kwame Mamdani,Paperboy Love Prince,Jessica Ramos,Brad Lander,Andrew M. Cuomo,1
Brad Lander,Scott M. Stringer,Paperboy Love Prince,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Andrew M. Cuomo,Zellnor Myrie,Paperboy Love Prince,Zellnor Myrie,Zohran Kwame Mamdani,1
Michael Blake,Whitney R. Tilson,Zellnor Myrie,Adrienne E. Adams,Jessica Ramos,1
Whitney R. Tilson,Paperboy Love Prince,Zellnor Myrie,Michael Blake,Andrew M. Cuomo,1
Andrew M. Cuomo,Selma K. Bartholomew,Adrienne E. Adams,Paperboy Love Prince,Zellnor Myrie,1
Zohran Kwame Mamdani,Paperboy Love Prince,Adrienne E. Adams,Scott M. Stringer,Write-In,1
Adrienne E. Adams,Michael Blake,Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,1
Zohran Kwame Mamdani,Paperboy Love Prince,Scott M. Stringer,Selma K. Bartholomew,Brad Lander,1
Adrienne E. Adams,Jessica Ramos,Selma K. Bartholomew,Whitney R. Tilson,Paperboy Love Prince,1
Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,Selma K. Bartholomew,Andrew M. Cuomo,1
Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,Michael Blake,Adrienne E. Adams,1
Scott M. Stringer,Whitney R. Tilson,Selma K. Bartholomew,Michael Blake,Andrew M. Cuomo,1
Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,Paperboy Love Prince,Scott M. Stringer,1
Whitney R. Tilson,Michael Blake,Zellnor Myrie,Adrienne E. Adams,Jessica Ramos,1
Andrew M. Cuomo,Scott M. Stringer,Write-In,Paperboy Love Prince,Brad Lander,1
Jessica Ramos,Zohran Kwame Mamdani,Brad Lander,Michael Blake,,1
Brad Lander,Zellnor Myrie,Whitney R. Tilson,Selma K. Bartholomew,Adrienne E. Adams,1
Whitney R. Tilson,Selma K. Bartholomew,Zohran Kwame Mamdani,Scott M. Stringer,Paperboy Love Prince,1
Whitney R. Tilson,Andrew M. Cuomo,Zellnor Myrie,Paperboy Love Prince,,1
Paperboy Love Prince,Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,Brad Lander,1
Selma K. Bartholomew,Zohran Kwame Mamdani,Paperboy Love Prince,Michael Blake,Jessica Ramos,1
Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,Write-In,Paperboy Love Prince,1
Jessica Ramos,Michael Blake,Adrienne E. Adams,Brad Lander,Andrew M. Cuomo,1
Zohran Kwame Mamdani,Scott M. Stringer,Whitney R. Tilson,Paperboy Love Prince,,1
Michael Blake,Scott M. Stringer,Andrew M. Cuomo,Zohran Kwame Mamdani,Paperboy Love Prince,1
Zohran Kwame Mamdani,Scott M. Stringer,Paperboy Love Prince,Brad Lander,Write-In,1
Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,Zohran Kwame Mamdani,Zohran Kwame Mamdani,1
Michael Blake,Zohran Kwame Mamdani,Whitney R. Tilson,,,1
Brad Lander,Jessica Ramos,Whitney R. Tilson,Scott M. Stringer,,1
Scott M. Stringer,Jessica Ramos,Brad Lander,Michael Blake,Zohran Kwame Mamdani,1
Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,Paperboy Love Prince,Michael Blake,1
Zohran Kwame Mamdani,Brad Lander,Brad Lander,Brad Lander,Brad Lander,1
Jessica Ramos,Zohran Kwame Mamdani,Andrew M. Cuomo,Zellnor Myrie,Michael Blake,1
Zohran Kwame Mamdani,Scott M. Stringer,Michael Blake,Whitney R. Tilson,Andrew M. Cuomo,1
Zohran Kwame Mamdani,Whitney R. Tilson,Selma K. Bartholomew,Michael Blake,Andrew M. Cuomo,1
Brad Lander,Andrew M. Cuomo,Paperboy Love Prince,Zohran Kwame Mamdani,Scott M. Stringer,1
Brad Lander,Jessica Ramos,Andrew M. Cuomo,Zohran Kwame Mamdani,Whitney R. Tilson,1
Andrew M. Cuomo,Paperboy Love Prince,Zellnor Myrie,Scott M. Stringer,Zohran Kwame Mamdani,1
Paperboy Love Prince,Zohran Kwame Mamdani,Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,1
Zohran Kwame Mamdani,Michael Blake,Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,1
Zohran Kwame Mamdani,Zellnor Myrie,Selma K. Bartholomew,Zohran Kwame Mamdani,Scott M. Stringer,1
Zohran Kwame Mamdani,Selma K. Bartholomew,Whitney R. Tilson,Zellnor Myrie,Adrienne E. Adams,1
Andrew M. Cuomo,Zellnor Myrie,Andrew M. Cuomo,Brad Lander,Paperboy Love Prince,1
Andrew M. Cuomo,Michael Blake,Zohran Kwame Mamdani,Whitney R. Tilson,Paperboy Love Prince,1
Michael Blake,Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Paperboy Love Prince,1
Whitney R. Tilson,Scott M. Stringer,Jessica Ramos,Andrew M. Cuomo,Paperboy Love Prince,1
Adrienne E. Adams,Paperboy Love Prince,Jessica Ramos,,,1
Zohran Kwame Mamdani,Paperboy Love Prince,Jessica Ramos,Write-In,,1
Michael Blake,Andrew M. Cuomo,Paperboy Love Prince,Zohran Kwame Mamdani,Adrienne E. Adams,1
Brad Lander,Whitney R. Tilson,Write-In,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Jessica Ramos,Adrienne E. Adams,Brad Lander,Michael Blake,Selma K. Bartholomew,1
Brad Lander,Jessica Ramos,Michael Blake,Whitney R. Tilson,Michael Blake,1
Brad Lander,Whitney R. Tilson,Jessica Ramos,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Whitney R. Tilson,Michael Blake,Paperboy Love Prince,Scott M. Stringer,,1
Zohran Kwame Mamdani,Paperboy Love Prince,Andrew M. Cuomo,Adrienne E. Adams,Michael Blake,1
Write-In,Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,Write-In,1
Adrienne E. Adams,Brad Lander,Jessica Ramos,Whitney R. Tilson,Zohran Kwame Mamdani,1
Selma K. Bartholomew,Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Zellnor Myrie,1
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Brad Lander,Paperboy Love Prince,1
